WetPeriod,Station,Start of Wetting Period,End of Wetting Period,Duration (Hrs.),Avg. Temp(F),Rainfall (in.),Anthracnose risk,Wet hrs @ avg temp required for infection,Progress toward infection
210,East Lansing (MSUHort),9/27/2017 0:05,9/27/2017 2:15,2.3,66.3,0,None,11.7,19%
211,East Lansing (MSUHort),9/27/2017 6:50,9/27/2017 9:25,2.7,60.7,0.16,None,14.3,22%
212,East Lansing (MSUHort),9/28/2017 1:25,9/28/2017 9:05,7.8,49.3,0,None,20.4,38%
213,East Lansing (MSUHort),9/28/2017 20:05,9/29/2017 6:15,10.3,50,0.01,None,19.8,55%
214,East Lansing (MSUHort),9/29/2017 11:45,9/29/2017 11:45,0.1,63.3,0.01,None,13,1%
215,East Lansing (MSUHort),9/29/2017 19:30,9/29/2017 20:25,1,56,0,None,16.4,6%
216,East Lansing (MSUHort),9/30/2017 0:15,9/30/2017 9:05,8.9,42.3,0,None,30,33%
217,East Lansing (MSUHort),9/30/2017 20:35,10/1/2017 9:15,12.8,40.6,0,None,34.8,21%
218,East Lansing (MSUHort),10/2/2017 0:25,10/2/2017 9:00,8.7,44.2,0,None,25.2,38%
219,East Lansing (MSUHort),10/3/2017 3:10,10/3/2017 8:25,5.3,54.1,0,None,17.5,30%
220,East Lansing (MSUHort),10/4/2017 11:40,10/4/2017 15:05,3.5,68.9,0.16,None,10.8,33%
221,East Lansing (MSUHort),10/4/2017 23:15,10/5/2017 9:15,10.1,46.7,0,None,22.8,44%
222,East Lansing (MSUHort),10/5/2017 20:15,10/5/2017 21:35,1.4,58.4,0,None,15.3,9%
223,East Lansing (MSUHort),10/6/2017 0:10,10/6/2017 11:40,11.6,51.9,0.56,None,19.2,66%
224,East Lansing (MSUHort),10/6/2017 19:25,10/7/2017 9:55,14.6,63.2,0.15,Low,13,111%
225,East Lansing (MSUHort),10/7/2017 21:25,10/8/2017 9:05,11.8,46.7,0.41,None,22.8,82%
226,East Lansing (MSUHort),10/8/2017 20:45,10/9/2017 9:45,13.1,55.7,0.18,None,16.9,83%
227,East Lansing (MSUHort),10/9/2017 20:00,10/10/2017 9:35,13.7,53.2,0,None,18.1,75%
228,East Lansing (MSUHort),10/11/2017 0:00,10/12/2017 11:30,35.6,47.6,1.56,Low,22,182%
229,East Lansing (MSUHort),10/13/2017 1:00,10/13/2017 11:00,10.1,56.5,0,None,16.4,62%
230,East Lansing (MSUHort),10/14/2017 1:30,10/15/2017 15:45,38.3,55.6,2.08,Moderate,16.9,264%
231,East Lansing (MSUHort),10/15/2017 21:45,10/16/2017 9:35,11.9,41.4,0,None,32.4,41%
232,East Lansing (MSUHort),10/16/2017 14:25,10/16/2017 15:10,0.8,51.7,0,None,19.2,4%
233,East Lansing (MSUHort),10/16/2017 19:30,10/17/2017 7:05,11.7,42.1,0,None,30,32%
234,East Lansing (MSUHort),10/17/2017 21:00,10/17/2017 21:30,0.6,50.3,0,None,19.8,3%
235,East Lansing (MSUHort),10/19/2017 22:55,10/20/2017 9:10,10.3,39.6,0,None,0,11%
236,East Lansing (MSUHort),10/20/2017 21:15,10/21/2017 9:25,12.3,53.1,0,None,18.1,67%
237,East Lansing (MSUHort),10/23/2017 9:00,10/25/2017 9:30,48.6,48.4,1.65,Moderate,21.2,219%
238,East Lansing (MSUHort),10/25/2017 18:40,10/26/2017 10:15,15.7,32.5,0,None,0,6%
239,East Lansing (MSUHort),10/27/2017 11:20,10/27/2017 14:15,3,46.7,0.05,None,22.8,13%
240,East Lansing (MSUHort),10/28/2017 17:20,10/29/2017 1:45,8.5,37.2,0,None,0,0%
241,East Lansing (MSUHort),10/29/2017 6:10,10/29/2017 10:15,4.2,37.1,0,None,0,0%
242,East Lansing (MSUHort),10/30/2017 0:20,10/30/2017 2:55,2.7,36.2,0,None,0,0%
243,East Lansing (MSUHort),10/30/2017 13:35,10/30/2017 22:15,8.8,34.8,0.05,None,0,14%
244,East Lansing (MSUHort),10/31/2017 2:20,10/31/2017 10:35,8.3,33.3,0.02,None,0,0%
245,East Lansing (MSUHort),11/1/2017 18:25,11/3/2017 9:55,39.6,45.1,0.49,Moderate,23.6,140%
246,East Lansing (MSUHort),11/3/2017 18:50,11/3/2017 21:05,2.3,38.3,0,None,0,0%
247,East Lansing (MSUHort),11/4/2017 6:50,11/4/2017 7:00,0.3,35,0,None,0,0%
248,East Lansing (MSUHort),11/4/2017 11:35,11/6/2017 1:45,38.3,46.5,0.89,Moderate,22.8,175%
249,East Lansing (MSUHort),11/6/2017 19:10,11/7/2017 7:20,12.3,33.8,0,None,0,0%
250,East Lansing (MSUHort),11/7/2017 19:55,11/8/2017 10:50,15,27.4,0,None,0,0%
251,East Lansing (MSUHort),11/8/2017 19:30,11/9/2017 9:25,14,31.2,0,None,0,0%
252,East Lansing (MSUHort),11/9/2017 14:40,11/9/2017 16:05,1.5,37.3,0.01,None,0,0%
253,East Lansing (MSUHort),11/12/2017 8:25,11/13/2017 11:15,26.9,34.2,0.25,None,0,0%
254,East Lansing (MSUHort),11/13/2017 22:30,11/14/2017 10:15,11.8,31,0,None,0,0%
255,East Lansing (MSUHort),11/15/2017 9:15,11/16/2017 3:35,18.4,39.1,0.28,None,0,43%
256,East Lansing (MSUHort),11/16/2017 22:00,11/16/2017 22:10,0.3,31.3,0,None,0,0%
257,East Lansing (MSUHort),11/17/2017 0:25,11/17/2017 5:15,4.9,28.9,0,None,0,0%
258,East Lansing (MSUHort),11/17/2017 21:05,11/19/2017 1:20,28.3,39.2,1.28,None,0,56%
259,East Lansing (MSUHort),11/19/2017 9:50,11/19/2017 9:50,0.1,33.2,0.01,None,0,0%
260,East Lansing (MSUHort),11/21/2017 15:15,11/21/2017 18:15,3.1,39.2,0.05,None,0,2%
261,East Lansing (MSUHort),11/25/2017 5:25,11/25/2017 6:30,1.2,38.9,0,None,0,5%
262,East Lansing (MSUHort),11/26/2017 2:05,11/26/2017 2:40,0.7,28.5,0,None,0,0%
263,East Lansing (MSUHort),11/26/2017 5:00,11/26/2017 10:55,6,23.9,0,None,0,0%
264,East Lansing (MSUHort),11/27/2017 4:20,11/27/2017 10:05,5.8,28.6,0,None,0,0%
265,East Lansing (MSUHort),11/29/2017 20:20,11/29/2017 21:20,1.1,30.5,0,None,0,0%
266,East Lansing (MSUHort),11/30/2017 3:45,11/30/2017 4:30,0.8,36.2,0,None,0,0%
267,East Lansing (MSUHort),11/30/2017 8:50,11/30/2017 10:50,2.1,40.1,0.05,None,34.8,2%
268,East Lansing (MSUHort),11/30/2017 20:40,12/1/2017 10:45,14.2,28.5,0,None,0,0%
269,East Lansing (MSUHort),12/1/2017 21:55,12/2/2017 11:20,13.5,31,0,None,0,0%
270,East Lansing (MSUHort),12/3/2017 1:30,12/3/2017 10:45,9.3,27.9,0,None,0,0%
271,East Lansing (MSUHort),12/5/2017 1:55,12/5/2017 2:40,0.8,51.1,0.04,None,19.2,5%
272,East Lansing (MSUHort),12/11/2017 13:10,12/11/2017 15:55,2.8,26.4,0,None,0,0%
273,East Lansing (MSUHort),12/14/2017 8:45,12/14/2017 9:50,1.2,0.8,0,None,0,0%
274,East Lansing (MSUHort),12/18/2017 2:35,12/19/2017 1:30,23,37.1,0.2,None,0,0%
275,East Lansing (MSUHort),12/22/2017 6:50,12/22/2017 10:00,3.3,30.5,0,None,0,0%
276,East Lansing (MSUHort),12/26/2017 9:15,12/26/2017 9:15,0.1,-8.5,0,None,0,0%
277,East Lansing (MSUHort),12/27/2017 3:25,12/27/2017 11:20,8,-2,0,None,0,0%
278,East Lansing (MSUHort),12/28/2017 0:15,12/28/2017 12:45,12.6,-9.3,0,None,0,0%
1,East Lansing (MSUHort),1/1/2018 5:35,1/1/2018 7:55,2.4,4.3,0,None,0,0%
2,East Lansing (MSUHort),1/5/2018 5:30,1/5/2018 8:50,3.4,-3.4,0,None,0,0%
3,East Lansing (MSUHort),1/6/2018 1:05,1/6/2018 10:40,9.7,-4.2,0,None,0,0%
4,East Lansing (MSUHort),1/8/2018 10:10,1/8/2018 12:00,1.9,33.1,0.09,None,0,0%
5,East Lansing (MSUHort),1/9/2018 10:25,1/9/2018 12:05,1.8,28.8,0,None,0,0%
6,East Lansing (MSUHort),1/9/2018 22:40,1/11/2018 9:40,35.1,40.4,0.03,None,34.8,91%
7,East Lansing (MSUHort),1/11/2018 15:55,1/12/2018 13:05,21.3,39.5,0.22,None,0,57%
8,East Lansing (MSUHort),1/14/2018 2:30,1/14/2018 10:10,7.8,1.4,0,None,0,0%
9,East Lansing (MSUHort),1/19/2018 11:05,1/19/2018 13:10,2.2,32,0.02,None,0,0%
10,East Lansing (MSUHort),1/21/2018 1:20,1/23/2018 1:55,48.7,38.6,0.6,None,0,67%
11,East Lansing (MSUHort),1/23/2018 9:30,1/23/2018 10:10,0.8,35,0,None,0,0%
12,East Lansing (MSUHort),1/26/2018 7:40,1/26/2018 7:40,0.1,28.9,0,None,0,0%
13,East Lansing (MSUHort),1/26/2018 22:45,1/26/2018 22:50,0.2,47.6,0,None,22,1%
14,East Lansing (MSUHort),2/6/2018 13:05,2/6/2018 13:10,0.2,20.9,0.02,None,0,0%
15,East Lansing (MSUHort),2/7/2018 11:30,2/7/2018 12:45,1.3,26,0.01,None,0,0%
16,East Lansing (MSUHort),2/7/2018 23:50,2/8/2018 9:10,9.4,10.4,0,None,0,0%
17,East Lansing (MSUHort),2/11/2018 9:20,2/12/2018 11:25,26.2,18.2,0,None,0,0%
18,East Lansing (MSUHort),2/12/2018 23:30,2/13/2018 9:35,10.2,4.7,0,None,0,0%
19,East Lansing (MSUHort),2/14/2018 11:40,2/14/2018 12:25,0.8,37.3,0.14,None,0,0%
20,East Lansing (MSUHort),2/14/2018 22:55,2/15/2018 22:25,23.6,40.9,0.01,None,34.8,57%
21,East Lansing (MSUHort),2/16/2018 23:35,2/17/2018 9:30,10,17.7,0,None,0,0%
22,East Lansing (MSUHort),2/19/2018 5:15,2/21/2018 9:25,52.3,48.4,2.6,High,21.2,202%
23,East Lansing (MSUHort),2/21/2018 21:40,2/21/2018 22:35,1,31.7,0,None,0,0%
24,East Lansing (MSUHort),2/23/2018 3:35,2/23/2018 19:50,16.3,38.2,0.05,None,0,24%
25,East Lansing (MSUHort),2/24/2018 23:30,2/25/2018 5:35,6.2,40.3,0.01,None,34.8,9%
26,East Lansing (MSUHort),2/26/2018 5:30,2/26/2018 7:55,2.5,31,0,None,0,0%
27,East Lansing (MSUHort),2/28/2018 19:35,2/28/2018 20:25,0.9,48.2,0,None,21.2,4%
28,East Lansing (MSUHort),3/1/2018 5:00,3/2/2018 13:05,32.2,31.2,0.38,None,0,0%
29,East Lansing (MSUHort),3/6/2018 14:55,3/7/2018 16:25,25.6,31,0.01,None,0,0%
30,East Lansing (MSUHort),3/9/2018 12:05,3/9/2018 12:05,0.1,30,0.01,None,0,0%
31,East Lansing (MSUHort),3/10/2018 3:40,3/10/2018 10:15,6.7,21.7,0.01,None,0,0%
32,East Lansing (MSUHort),3/11/2018 1:55,3/11/2018 8:40,6.8,19.6,0,None,0,0%
33,East Lansing (MSUHort),3/11/2018 23:05,3/12/2018 11:55,12.9,24.6,0.04,None,0,0%
34,East Lansing (MSUHort),3/13/2018 11:25,3/13/2018 11:25,0.1,31.1,0.01,None,0,0%
35,East Lansing (MSUHort),3/17/2018 1:35,3/17/2018 10:25,8.9,23.7,0,None,0,0%
36,East Lansing (MSUHort),3/18/2018 2:40,3/18/2018 8:40,6.1,24,0,None,0,0%
37,East Lansing (MSUHort),3/26/2018 23:25,3/27/2018 22:20,23,44.6,0.32,None,25.2,89%
38,East Lansing (MSUHort),3/28/2018 23:35,3/29/2018 12:50,13.3,41.2,0.1,None,32.4,41%
39,East Lansing (MSUHort),3/31/2018 11:45,3/31/2018 17:30,5.8,38.8,0.11,None,0,21%
40,East Lansing (MSUHort),4/2/2018 4:00,4/2/2018 7:40,3.8,19,0,None,0,0%
41,East Lansing (MSUHort),4/3/2018 5:40,4/4/2018 12:05,30.5,32.8,0.45,None,0,0%
42,East Lansing (MSUHort),4/5/2018 22:05,4/5/2018 22:20,0.3,27.8,0,None,0,0%
43,East Lansing (MSUHort),4/6/2018 3:05,4/6/2018 8:00,5,32.4,0.03,None,0,0%
44,East Lansing (MSUHort),4/8/2018 4:55,4/8/2018 7:05,2.3,16.8,0,None,0,0%
45,East Lansing (MSUHort),4/9/2018 18:05,4/10/2018 9:40,15.7,28.2,0.07,None,0,0%
46,East Lansing (MSUHort),4/11/2018 22:50,4/12/2018 6:55,8.2,43.9,0.12,None,27.6,31%
47,East Lansing (MSUHort),4/12/2018 22:05,4/13/2018 0:20,2.3,35.5,0,None,0,11%
48,East Lansing (MSUHort),4/13/2018 15:00,4/13/2018 15:30,0.6,48.8,0,None,21.2,3%
49,East Lansing (MSUHort),4/13/2018 19:15,4/16/2018 9:00,61.8,32.7,1.64,None,0,0%
50,East Lansing (MSUHort),4/16/2018 15:35,4/16/2018 15:35,0.1,33.3,0.01,None,0,0%
51,East Lansing (MSUHort),4/18/2018 17:05,4/19/2018 2:10,9.2,33.8,0.02,None,0,0%
52,East Lansing (MSUHort),4/21/2018 2:10,4/21/2018 4:15,2.2,31.2,0,None,0,0%
53,East Lansing (MSUHort),4/21/2018 6:55,4/21/2018 7:15,0.4,33.4,0,None,0,0%
54,East Lansing (MSUHort),4/22/2018 1:35,4/22/2018 7:20,5.8,32,0,None,0,0%
55,East Lansing (MSUHort),4/24/2018 3:50,4/24/2018 8:05,4.3,50.4,0,None,19.8,23%
56,East Lansing (MSUHort),4/24/2018 18:00,4/25/2018 6:25,12.5,50.5,0.04,None,19.8,63%
57,East Lansing (MSUHort),4/25/2018 22:30,4/26/2018 7:30,9.1,34.4,0,None,0,1%
58,East Lansing (MSUHort),4/27/2018 0:30,4/27/2018 6:40,6.3,38,0,None,0,1%
59,East Lansing (MSUHort),4/27/2018 10:00,4/27/2018 10:05,0.2,53.4,0,None,18.1,1%
60,East Lansing (MSUHort),4/30/2018 1:20,4/30/2018 7:15,6,31.6,0,None,0,1%
61,East Lansing (MSUHort),5/2/2018 20:55,5/2/2018 20:55,0.1,77.8,0,None,7.3,1%
62,East Lansing (MSUHort),5/2/2018 23:20,5/3/2018 14:00,14.8,60.9,0.38,Low,14.3,112%
63,East Lansing (MSUHort),5/3/2018 20:45,5/4/2018 3:15,6.6,61.6,0.18,None,13.9,47%
64,East Lansing (MSUHort),5/4/2018 22:00,5/5/2018 0:30,2.6,54.5,0,None,17.5,15%
65,East Lansing (MSUHort),5/7/2018 0:45,5/7/2018 7:40,7,41,0,None,32.4,16%
66,East Lansing (MSUHort),5/8/2018 4:10,5/8/2018 5:40,1.6,46.8,0,None,22.8,7%
67,East Lansing (MSUHort),5/9/2018 1:40,5/9/2018 6:30,4.9,51.9,0,None,19.2,26%
68,East Lansing (MSUHort),5/9/2018 22:35,5/10/2018 10:30,12,47.8,0.16,None,22,84%
69,East Lansing (MSUHort),5/11/2018 10:10,5/12/2018 14:25,28.3,41.1,1.38,None,32.4,90%
70,East Lansing (MSUHort),5/12/2018 20:05,5/13/2018 11:05,15.1,48.1,0.58,None,21.2,70%
71,East Lansing (MSUHort),5/13/2018 22:50,5/14/2018 12:10,13.4,54.1,0.09,None,17.5,77%
72,East Lansing (MSUHort),5/14/2018 21:45,5/15/2018 12:15,14.6,59.5,0.45,Low,14.8,109%
73,East Lansing (MSUHort),5/16/2018 0:40,5/16/2018 7:35,7,52.8,0,None,18.6,38%
74,East Lansing (MSUHort),5/16/2018 21:45,5/17/2018 7:55,10.3,54.8,0,None,17.5,60%
75,East Lansing (MSUHort),5/18/2018 18:30,5/19/2018 19:00,24.6,56.2,0.38,Low,16.4,186%
76,East Lansing (MSUHort),5/20/2018 4:30,5/20/2018 7:40,3.3,54.1,0,None,17.5,18%
77,East Lansing (MSUHort),5/20/2018 11:40,5/20/2018 15:55,4.3,46.1,0.02,None,22.8,26%
78,East Lansing (MSUHort),5/20/2018 21:25,5/21/2018 8:25,11.1,48.8,0,None,21.2,53%
79,East Lansing (MSUHort),5/21/2018 13:40,5/22/2018 16:30,26.9,50.7,0.52,Low,19.8,162%
80,East Lansing (MSUHort),5/22/2018 20:30,5/23/2018 8:50,12.4,51.2,0,None,19.2,64%
81,East Lansing (MSUHort),5/23/2018 21:00,5/24/2018 8:10,11.3,53.6,0,None,18.1,63%
82,East Lansing (MSUHort),5/24/2018 21:10,5/25/2018 7:20,10.3,56,0,None,16.4,62%
83,East Lansing (MSUHort),5/25/2018 22:05,5/26/2018 4:45,6.8,66,0,None,11.7,57%
84,East Lansing (MSUHort),5/26/2018 8:20,5/26/2018 8:45,0.5,68.1,0,None,10.8,5%
85,East Lansing (MSUHort),5/26/2018 22:20,5/27/2018 8:25,10.2,65.1,0,None,12.1,84%
86,East Lansing (MSUHort),5/27/2018 21:35,5/28/2018 8:15,10.8,64.1,0,None,12.6,86%
87,East Lansing (MSUHort),5/28/2018 21:10,5/29/2018 7:50,10.8,68.6,0,Low,10.8,102%
88,East Lansing (MSUHort),5/30/2018 15:25,5/30/2018 15:25,0.1,82.5,0,None,11,1%
89,East Lansing (MSUHort),5/30/2018 19:30,5/31/2018 7:30,12.1,71.5,0.83,Low,9.4,128%
90,East Lansing (MSUHort),5/31/2018 22:20,6/1/2018 8:20,10.1,66.7,0,None,11.7,88%
91,East Lansing (MSUHort),6/1/2018 14:20,6/1/2018 15:50,1.6,52.9,0.07,None,18.6,19%
92,East Lansing (MSUHort),6/3/2018 0:55,6/3/2018 12:15,11.4,59.2,0.19,None,14.8,77%
93,East Lansing (MSUHort),6/4/2018 23:05,6/5/2018 7:30,8.5,55.9,0.17,None,16.9,54%
94,East Lansing (MSUHort),6/6/2018 0:20,6/6/2018 8:10,7.9,46.8,0,None,22.8,35%
95,East Lansing (MSUHort),6/6/2018 23:20,6/7/2018 1:35,2.3,58.6,0,None,15.3,15%
96,East Lansing (MSUHort),6/7/2018 4:25,6/7/2018 8:00,3.7,54.9,0,None,17.5,21%
97,East Lansing (MSUHort),6/7/2018 21:40,6/8/2018 7:45,10.2,61.7,0,None,13.9,74%
98,East Lansing (MSUHort),6/9/2018 1:05,6/9/2018 1:05,0.1,68,0,None,10.8,1%
99,East Lansing (MSUHort),6/9/2018 4:15,6/9/2018 5:20,1.2,47.8,0,None,22,9%
100,East Lansing (MSUHort),6/9/2018 7:25,6/10/2018 0:30,17.2,58.1,0.32,Low,15.3,130%
101,East Lansing (MSUHort),6/10/2018 15:40,6/10/2018 17:25,1.8,36.7,0,None,0,15%
102,East Lansing (MSUHort),6/10/2018 23:40,6/11/2018 0:10,0.6,61.4,0,None,13.9,4%
103,East Lansing (MSUHort),6/11/2018 22:35,6/12/2018 8:00,9.5,56.7,0,None,16.4,63%
104,East Lansing (MSUHort),6/12/2018 21:45,6/13/2018 10:10,12.5,63.6,0,Low,13,107%
105,East Lansing (MSUHort),6/14/2018 0:05,6/14/2018 7:40,7.7,54.3,0,None,17.5,44%
106,East Lansing (MSUHort),6/14/2018 22:30,6/15/2018 7:45,9.3,58.6,0,None,15.3,61%
107,East Lansing (MSUHort),6/16/2018 2:45,6/16/2018 2:45,0.1,67.8,0,None,11.3,1%
108,East Lansing (MSUHort),6/16/2018 6:10,6/16/2018 13:10,7.1,49.7,0.07,None,20.4,69%
109,East Lansing (MSUHort),6/16/2018 21:25,6/17/2018 8:00,10.7,68.6,0,None,10.8,100%
110,East Lansing (MSUHort),6/18/2018 22:00,6/19/2018 14:55,17,45.6,0.05,Low,23.6,165%
111,East Lansing (MSUHort),6/20/2018 4:25,6/20/2018 8:50,4.5,52.2,0.23,None,18.6,32%
112,East Lansing (MSUHort),6/20/2018 13:35,6/20/2018 13:55,0.4,65.3,0,None,12.1,3%
113,East Lansing (MSUHort),6/20/2018 22:05,6/21/2018 8:15,10.3,57.6,0,None,15.8,65%
114,East Lansing (MSUHort),6/22/2018 6:50,6/22/2018 7:00,0.3,50.8,0,None,19.8,2%
115,East Lansing (MSUHort),6/22/2018 14:05,6/22/2018 14:45,0.8,70.9,0,None,9.9,8%
116,East Lansing (MSUHort),6/22/2018 16:45,6/23/2018 11:55,19.3,58.4,0.1,Low,15.3,151%
117,East Lansing (MSUHort),6/23/2018 22:35,6/24/2018 9:55,11.4,61.9,0,None,13.9,83%
118,East Lansing (MSUHort),6/24/2018 12:00,6/24/2018 14:10,2.3,65,0,None,12.1,18%
119,East Lansing (MSUHort),6/24/2018 21:25,6/25/2018 8:10,10.8,58.1,0,None,15.3,70%
120,East Lansing (MSUHort),6/25/2018 22:35,6/26/2018 2:45,4.3,56.1,0,None,16.4,26%
121,East Lansing (MSUHort),6/26/2018 17:40,6/26/2018 17:55,0.3,73,0,None,8.6,4%
122,East Lansing (MSUHort),6/27/2018 1:40,6/27/2018 17:05,15.5,64.8,0.21,Low,12.6,144%
123,East Lansing (MSUHort),6/27/2018 21:20,6/28/2018 7:40,10.4,64.4,0.05,None,12.6,83%
124,East Lansing (MSUHort),6/28/2018 23:40,6/29/2018 8:05,8.5,63.8,0,None,13,66%
125,East Lansing (MSUHort),6/30/2018 4:45,6/30/2018 7:40,3,75.7,0,None,7.7,39%
126,East Lansing (MSUHort),7/1/2018 1:25,7/1/2018 7:30,6.2,71.2,0,None,9.4,64%
127,East Lansing (MSUHort),7/2/2018 21:55,7/3/2018 7:55,10.1,62.8,0,None,13.4,76%
128,East Lansing (MSUHort),7/4/2018 4:45,7/4/2018 7:30,2.8,69.6,0,None,10.3,28%
129,East Lansing (MSUHort),7/5/2018 0:15,7/5/2018 7:20,7.2,65.3,0,None,12.1,90%
130,East Lansing (MSUHort),7/6/2018 23:55,7/7/2018 7:30,7.7,48.8,0,None,21.2,37%
131,East Lansing (MSUHort),7/8/2018 0:05,7/8/2018 7:35,7.6,53.3,0,None,18.1,42%
132,East Lansing (MSUHort),7/9/2018 0:20,7/9/2018 7:35,7.3,57.3,0,None,15.8,46%
133,East Lansing (MSUHort),7/11/2018 3:35,7/11/2018 7:35,4.1,55.4,0,None,16.9,24%
134,East Lansing (MSUHort),7/12/2018 1:20,7/12/2018 7:30,6.3,55,0,None,16.9,36%
135,East Lansing (MSUHort),7/13/2018 1:35,7/13/2018 8:05,6.6,63.4,0.34,None,13,54%
136,East Lansing (MSUHort),7/14/2018 0:25,7/14/2018 8:15,7.9,67.4,0,None,11.3,70%
137,East Lansing (MSUHort),7/14/2018 11:05,7/14/2018 11:05,0.1,77,0,None,7.3,1%
138,East Lansing (MSUHort),7/14/2018 13:10,7/14/2018 15:30,2.4,76,0.02,None,7.3,32%
139,East Lansing (MSUHort),7/14/2018 22:45,7/15/2018 8:25,9.8,67.5,0,None,11.3,87%
140,East Lansing (MSUHort),7/15/2018 21:45,7/16/2018 9:35,11.9,71.7,0.07,Low,9.4,128%
141,East Lansing (MSUHort),7/17/2018 3:15,7/17/2018 7:05,3.9,59.5,0,None,14.8,27%
142,East Lansing (MSUHort),7/18/2018 4:45,7/18/2018 7:15,2.6,54.8,0,None,17.5,15%
143,East Lansing (MSUHort),7/19/2018 0:00,7/19/2018 7:25,7.5,56.8,0,None,16.4,46%
144,East Lansing (MSUHort),7/20/2018 5:55,7/20/2018 6:20,0.5,48.3,0,None,21.2,4%
145,East Lansing (MSUHort),7/20/2018 9:10,7/20/2018 12:40,3.6,57.2,0.16,None,15.8,33%
146,East Lansing (MSUHort),7/21/2018 5:30,7/21/2018 10:45,5.3,66,0.04,None,11.7,45%
147,East Lansing (MSUHort),7/21/2018 18:10,7/22/2018 18:30,24.4,59.3,0.23,Low,14.8,224%
148,East Lansing (MSUHort),7/22/2018 22:40,7/23/2018 11:10,12.6,63.6,0.01,None,13,97%
149,East Lansing (MSUHort),7/24/2018 2:35,7/24/2018 11:20,8.8,61,0,None,13.9,78%
150,East Lansing (MSUHort),7/24/2018 13:55,7/24/2018 14:15,0.4,73.7,0.01,None,8.6,5%
151,East Lansing (MSUHort),7/24/2018 22:55,7/25/2018 8:20,9.5,64.9,0,None,12.6,78%
152,East Lansing (MSUHort),7/26/2018 0:35,7/26/2018 6:35,6.1,51.9,0,None,19.2,48%
153,East Lansing (MSUHort),7/26/2018 23:55,7/27/2018 8:15,8.4,59.3,0,None,14.8,57%
154,East Lansing (MSUHort),7/28/2018 0:00,7/28/2018 8:10,8.3,55.1,0,None,16.9,48%
155,East Lansing (MSUHort),7/28/2018 23:25,7/29/2018 8:20,9,54.9,0,None,17.5,52%
156,East Lansing (MSUHort),7/29/2018 23:55,7/30/2018 8:05,8.3,58.4,0,None,15.3,54%
157,East Lansing (MSUHort),7/30/2018 22:40,7/31/2018 8:55,10.3,58.6,0,None,15.3,68%
158,East Lansing (MSUHort),7/31/2018 17:00,7/31/2018 17:50,0.9,72.4,0,None,9,10%
159,East Lansing (MSUHort),7/31/2018 19:50,8/1/2018 9:55,14.2,65.4,0.31,Low,12.1,117%
160,East Lansing (MSUHort),8/1/2018 15:25,8/1/2018 18:00,2.7,44.4,0,None,25.2,31%
161,East Lansing (MSUHort),8/1/2018 21:30,8/2/2018 8:40,11.3,62.4,0,None,13.4,84%
162,East Lansing (MSUHort),8/2/2018 21:30,8/3/2018 9:40,12.3,64.7,0.03,None,12.6,99%
163,East Lansing (MSUHort),8/3/2018 22:10,8/4/2018 8:35,10.5,60.1,0,None,14.3,73%
164,East Lansing (MSUHort),8/5/2018 4:10,8/5/2018 7:45,3.7,71.4,0,None,9.4,39%
165,East Lansing (MSUHort),8/6/2018 9:05,8/7/2018 9:40,24.7,63.4,0.41,Moderate,13,257%
166,East Lansing (MSUHort),8/7/2018 20:05,8/8/2018 9:50,13.8,68.2,2.46,Low,10.8,138%
167,East Lansing (MSUHort),8/8/2018 23:40,8/9/2018 9:15,9.7,62.1,0,None,13.4,73%
168,East Lansing (MSUHort),8/9/2018 22:00,8/10/2018 9:10,11.3,68,0,Low,10.8,102%
169,East Lansing (MSUHort),8/10/2018 21:30,8/11/2018 9:20,11.9,59.9,0,None,14.8,82%
170,East Lansing (MSUHort),8/12/2018 2:05,8/12/2018 8:50,6.8,62.8,0,None,13.4,52%
171,East Lansing (MSUHort),8/12/2018 22:30,8/13/2018 8:40,10.3,61.6,0,None,13.9,74%
172,East Lansing (MSUHort),8/13/2018 20:55,8/14/2018 9:10,12.3,63.1,0,None,13,94%
173,East Lansing (MSUHort),8/14/2018 22:25,8/15/2018 8:00,9.7,65.7,0,None,12.1,81%
174,East Lansing (MSUHort),8/16/2018 0:45,8/16/2018 9:40,9,67.7,0,None,11.3,81%
175,East Lansing (MSUHort),8/16/2018 15:40,8/17/2018 14:30,22.9,61.6,0.11,Low,13.9,241%
176,East Lansing (MSUHort),8/17/2018 19:10,8/18/2018 10:05,15,68.1,0.01,Low,10.8,139%
177,East Lansing (MSUHort),8/18/2018 22:15,8/19/2018 9:55,11.8,64.6,0,None,12.6,94%
178,East Lansing (MSUHort),8/20/2018 2:45,8/20/2018 8:50,6.2,63.5,0,None,13,47%
179,East Lansing (MSUHort),8/21/2018 5:05,8/21/2018 10:05,5.1,68.8,0.16,None,10.8,48%
180,East Lansing (MSUHort),8/22/2018 22:00,8/23/2018 8:25,10.5,53,0,None,18.1,58%
181,East Lansing (MSUHort),8/23/2018 21:15,8/24/2018 8:00,10.8,55,0,None,16.9,63%
182,East Lansing (MSUHort),8/24/2018 22:10,8/24/2018 23:15,1.2,65.1,0,None,12.1,10%
183,East Lansing (MSUHort),8/25/2018 7:05,8/25/2018 11:05,4.1,66.4,0.56,None,11.7,35%
184,East Lansing (MSUHort),8/25/2018 22:55,8/26/2018 13:20,14.5,67.5,0,Low,11.3,146%
185,East Lansing (MSUHort),8/28/2018 6:40,8/28/2018 12:05,5.5,57.8,0.15,None,15.8,52%
